Date,Balance
2018-01-01,10026
2018-01-02,10014
2018-01-03,9972
2018-01-04,10018
2018-01-05,10086
2018-01-06,10108
2018-01-07,10203
2018-01-08,10204
2018-01-09,10225
2018-01-10,10239
2018-01-11,10242
2018-01-12,10188
2018-01-13,10227
2018-01-14,10285
2018-01-15,10355
2018-01-16,10399
2018-01-17,10396
2018-01-18,10423
2018-01-19,10511
2018-01-20,10517
2018-01-21,10525
2018-01-22,10562
2018-01-23,10528
2018-01-24,10583
2018-01-25,10524
2018-01-26,10572
2018-01-27,10596
2018-01-28,10573
2018-01-29,10513
2018-01-30,10507
2018-01-31,10606
2018-02-01,10577
2018-02-02,10578
2018-02-03,10614
2018-02-04,10705
2018-02-05,10717
2018-02-06,10700
2018-02-07,10742
2018-02-08,10694
2018-02-09,10671
2018-02-10,10758
2018-02-11,10776
2018-02-12,10874
2018-02-13,10814
2018-02-14,10857
2018-02-15,10863
2018-02-16,10861
2018-02-17,10899
2018-02-18,10961
2018-02-19,10935
2018-02-20,11015
2018-02-21,11104
2018-02-22,11146
2018-02-23,11170
2018-02-24,11127
2018-02-25,11137
2018-02-26,11185
2018-02-27,11138
2018-02-28,11199
2018-03-01,11253
2018-03-02,11340
2018-03-03,11316
2018-03-04,11389
2018-03-05,11456
2018-03-06,11457
2018-03-07,11445
2018-03-08,11445
2018-03-09,11474
2018-03-10,11558
2018-03-11,11552
2018-03-12,11603
2018-03-13,11624
2018-03-14,11721
2018-03-15,11668
2018-03-16,11643
2018-03-17,11605
2018-03-18,11677
2018-03-19,11715
2018-03-20,11687
2018-03-21,11665
2018-03-22,11633
2018-03-23,11609
2018-03-24,11582
2018-03-25,11562
2018-03-26,11538
2018-03-27,11607
2018-03-28,11699
2018-03-29,11750
2018-03-30,11803
2018-03-31,11848
2018-04-01,11904
2018-04-02,11930
2018-04-03,11920
2018-04-04,11939
2018-04-05,12037
2018-04-06,12006
2018-04-07,12022
2018-04-08,12072
2018-04-09,12020
2018-04-10,12080
2018-04-11,12165
2018-04-12,12214
2018-04-13,12212
2018-04-14,12311
2018-04-15,12345
2018-04-16,12412
2018-04-17,12387
2018-04-18,12478
2018-04-19,12528
2018-04-20,12621
2018-04-21,12651
2018-04-22,12715
2018-04-23,12787
2018-04-24,12826
2018-04-25,12813
2018-04-26,12783
2018-04-27,12812
2018-04-28,12813
2018-04-29,12848
2018-04-30,12943
2018-05-01,12903
2018-05-02,12986
2018-05-03,12940
2018-05-04,12895
2018-05-05,12845
2018-05-06,12855
2018-05-07,12863
2018-05-08,12843
2018-05-09,12789
2018-05-10,12739
2018-05-11,12730
2018-05-12,12709
2018-05-13,12800
2018-05-14,12819
2018-05-15,12774
2018-05-16,12782
2018-05-17,12848
2018-05-18,12789
2018-05-19,12845
2018-05-20,12937
2018-05-21,12884
2018-05-22,12912
2018-05-23,12942
2018-05-24,12923
2018-05-25,12865
2018-05-26,12921
2018-05-27,12909
2018-05-28,12931
2018-05-29,12951
2018-05-30,13000
2018-05-31,12970
2018-06-01,13059
2018-06-02,13121
2018-06-03,13091
2018-06-04,13164
2018-06-05,13161
2018-06-06,13133
2018-06-07,13197
2018-06-08,13164
2018-06-09,13214
2018-06-10,13221
2018-06-11,13178
2018-06-12,13132
2018-06-13,13184
2018-06-14,13208
2018-06-15,13185
